nickname,add1,add2,add3,city,tel,area,tinno,mobile
PATEL MOTORS - DEESA,"NEAR VISHVAKARMA TEMPLE,",HIGHWAY,,Deesa   385 535,   ,DEESA,,9909673374
PATEL MOTORS - RAJKOT,"418, 4th FLOOR, JIMI TOWER,","OPP, SWAMINARAYAN GURUKUL","GONDAL ROAD,",Rajkot 360 002,9737400555 9408046451  ,rajkot,24090704173,9737400555/9408046451
PATEL OIL POINTS - TIMBDI PATIA,"8/A, NATIONAL HIGH WAY,","NEAR TIMBDI BUS-STATION,","TIMBDI, MORBI",Morbi ,9277955567   ,MORBI,24092010868,9277955567
PATEL OIL TRADING CO. - MANSA,"BHAKTI NAGAR SOCIETY,","OPP. MADHURAJ CINEMA,","VIJAPUR HIGHWAY,",Mansa   382 845,02763-270506 274257 R-271536 ,MANSA, ,9427016994/9824916277
PATEL RAJNIKANT TRACTOR PARTS - KALAVAD,,"BEHIND GRAIN MARKET,","PETROL PUMP ROAD,",KALAVAD  (SHITLA) 361 160,   ,rajkot,24101100385,9909813302
PATEL TRACTORS - RAJKOT,,"LODHAWAD CHOWK,",,Rajkot 360 002,0281-2225212 R-2585831  ,rajkot,,9428155774/9825215101
PATEL TRACTORS - RAJULA,"TOWER ROAD,", , ,Rajula 365 560 ,02794-222732 R-222735    ,RAJULA, , 9824235731
PATEL TRADERS -  KATHLAL,"OPP. KRISHNA OIL MILL,",KAPADWANJ-NADIAD ROAD, ,Kathlal   387 630 ,02691-243108 R:243709    ,KATHALAL, ," 9825890039, 9879417972"
PATEL TRADING CO. -  MEHSANA,"OPP.RAJKAMAL PETROL PUMP,","HIGHWAY,", ,Mehsana   384 002 ,"251967, R-25643 7    ",Mehsana, , 
PATIDAR AUTO - MEHSANA,"8, MADHUVAN COMPLEX,","BASEMENT NEAR ICICI BANK,",HIGHWAY,Mehsana   384 002,02762-240740   ,Mehsana,24040706957,9904888777/9825700202
PATIDAR AUTO AGENCY - MEHSANA,"RAMOSANA CIRCLE,",PALANPUR HIGHWAY,,Mehsana   ,02762 - 292015   ,Mehsana,,9428558152/9909674777
PATIDAR AUTOMOBILES - AMRELI,"LATHI BY PASS ROAD,","NEAR CHAMUNDA GARAGE,",,Amreli   364 601,   ,Amreli,,9824233039
PATIDAR MOTORS - UNJHA,"OPP, G.E.B.,","UNJHA PATAN ROAD,",UNJHA,Unjha ,9825109637 9979518955  ,UNJHA,NO TIN,"9825109637,9979518955"
PATS MOTORS - AHMEDABAD,"12,SUNFLAM BLDG.,","Nr. MITHAKHALI UNDER BRIDGE,","OPP.JAIHIND PRESS, NARANPURA,",Ahmedabad  380 009 ,(O):26587207      ,NARANPURA, , 
PAVAN AUTOMOBILES. -  UNJHA,"PAVAN COMPLEX,","NEAR RAVAL PETROL PUMP,","HIGHWAY ROAD,",Unjha   384 170 ,251205      ,UNJHA, ,94270 82632
PAVAN HYDRAULICS - SARKHEJ,"3, LUCKY COMPLEX,B/H SABAR HOTEL,",SARKHEJ SANAND CHOKDI,SARKHEJ,Ahmedabad 382 210,9879575282 26890486  ,SARKHEJ,,9879575282/9427608645
PAVAN MOTORS -  PALANPUR,"12, KARNAVATI SHOPPING CENTRE,","AHMEDABAD HIGHWAY,", ,Palanpur 385 001 ,(02742):54294 R -54290    ,PALANPUR, ,9925307699 
PAVAN MOTORS - VASTRAPUR.,"4-5, Chinmay, Opp. Payal Flat,","Judges Bungalow Road,",Vastrapur,Ahmedabad  380 015,27912869   ,NARANPURA,24073801520 ,9825066177/9925065835
PAVAN TRACTORS - DEESA,"16, ARIHANT COMPLEX,","BHILADI ROAD,","AKHOL,",Deesa   385 535,   ,DEESA,24020903555,9328256205/9428654724
PAYAL AUTO PARTS ,"  13-14/A, JAMBUDWEEP COMPLEX,"," OPP. NIRNAYNAGAR GALNALA,", CHANDLODIYA ROAD,Ahmedabad   ,       ,AHMEDABAD,NO TIN , 
PAYAL AUTOMOBILES - JETPUR,,,,Jetpur   360 370,   ,132 FT ROAD,,
PAYAL TRACTORS - RAJULA," SALOT SUPER MARKET,","TOWER ROAD,", ,Rajula   365 560 ,"(02794)O-22023, 27 R-22156    ",RAJULA, , 9427244766/9714293858
PERFECT AUTO & ELECTRIC - MANGROL,"VERAVAL ROAD,",BAY-PASS CHOKDI,MANGROL,Mangrol 36225,9924689840 9904029853  ,mangrol,NO TIN,"9924689840, 9904029853"
PERFECT AUTO PARTS -  BAYAD,"MODASA ROAD,", , BAYAD, Bayad   383 325 ,(02779-222338 R-222583    ,BAYAD, , 
PERFECT MANUFACTURING CORPORATION - MIRZAPUR,"26, G/F K.B.COMMERCIAL CENTRE","NEAR DINBAI TOWER,",MIRZAPUR,Ahmedabad  380 001,25500456 26403818 R-26443979 ,MIRZAPUR,24070701393,9825026595/9879756639
PERFECT MOTORS - ANAND,"OPP, SWAMINARAYAN SOCIETY ,","B/H - SARDARGANG,",ANAND,Anand   ,9825369589   ,Anand,NO TIN,9825369589
PERFECT MOTORS - SURAT,"SANGRAM PURA,","NEAR UDHANA DARWAJA,","SURMAWAD,",Surat    395 002,2330272      ,SURAT, , 
PERFECT SALES CORPORATION -  MIRZAPUR,"19, K.B.COMMERCIAL CENTRE,","NEAR .DINBAI TOWER,","MIRZAPUR,",Ahmedabad 380 001 , 05506665  9924434346   9924534346  ,MIRZAPUR, ," 9924534346 , 9924434346"
PERFECT TYRE & AUTO PARTS - BAYAD,"MODASA ROAD,",,BAYAD, Bayad   383 325,02779-222338 R-222583  ,BAYAD,24051300618,
PINAL AUTOMOBILES - ANAND,"CHIKHODARA CROSSING,","N.H.NO.- 8,", ,Anand    ,(02692)O-251764  R:250720    ,Anand, , 
PINKY AUTOMOBILES -  MEHSANA,"RADHANPUR CHAR RASTA,","OPP. SWAMINARAYAN TEMPLE,",HIGHWAY ,Mehsana   384 002 , 02762-258931 255350     ,Mehsana, , 9825503888
PINKY MOTORS - MEHSANA,"OPP. SAGAR DAIRY,","HIGHWAY,", ,Mehsana   384 001 ,(02762)O-258931 R-255350  R252582  ,Mehsana, , 98255 03888
PIONEER AUTO PARTS - AHMEDABAD,"MIRZAPUR,", , ,Ahmedabad  ,       ,AHMEDABAD, , 
PIPLAWALA MOTOR STORES - HIMMATNAGAR,"17, SHREENATH ESTATE,","OPP. PALACE,","B/H NYAYMANDIR BUS STOP,",Himatnagar   383 001 ,"(02772)244361,2 42224(O)  R-242497  ",HIMMATNAGAR, , 
PITRODA AUTO PARTS - LIMBADI,"NATIONAL HIGHWAY NO 8 A,",CHAR RASTA,,LIMBADI   363 421,260209 R-261149  ,LIMBADI, ,9376011356
PITRU MOTORS -  DEESA,"SHANKARLALA PRATAPJI AGRAWAL,", ,"WADI ROAD,",Deesa    ,02744-225857      ,DEESA, , 98251 21499
POKAR AUTO REPAIRERS -  NARODA,"NEAR UNION CO.OP.BANK,","SAIJPUR BOGHA,","NARODA ROAD,",Ahmedabad 382 345 ,22814312  9998336510    ,NARODA, ,9998336510
POLRA MOTORS - DEESA,"NEAR R.T.O. CHECK POST,", ,"MOTI AKHOL,",Deesa   385 535  ,"(02744)2070341, R-241634    ",DEESA, , 
POOJA AUTO PARTS - MEHSANA,"6, GURUDATTA SHOPING CENTRE,","MODHERA CHAR RASTA,", ,Mehsana   384 002 ,02762-248361 R-258771    ,Mehsana, , 9426312829
POOJA AUTOMOBILES -  VASTRAPUR,"7, SANKALP APPARTMENT,","JUDGES BUNGLOW ROAD,","OPP. SHRADDHA PETROL PUMP,BODAKDEV,",Ahmedabad 380 015 ,26870062      ,SOLA, ,"26870062 , 9427308906"
Pooja Automobiles - Randheja, RANDHEJA CHOKDI," MANSA GANDHINAGAR HIGHWAY,",RANDHEJA,RANDHEJA 382 620,  9377338088     ,GANDHINAGR, , 9377338088
POOJA MOTORS - HALOL,"13, DWARKESH SHOPPING CENTRE,",NEAR BUS STAND,,Halol   389 350,02676-222404   ,HALOL,,9428905048/9824251880982437418
POOJA OIL & AUTO PARTS -  MEHSANA,"F-3, CLASSIC PLAZA,","HIGHWAY,", ,Mehsana   384 001 ,"43897 R:44707,5 0885    ",Mehsana, , 
POOJA PETROLEUM - BHAVNAGAR,"13,KAVERI CORPORATION,","NAWAPURA,", ,Bhavnagar 364 001 ,O-25631 (R) 264 95    ,BHAVNAGAR, , 
POOJA TRADERS - DEESA,R.T.O. CHECK POST,HIGHWAY,,Deesa   385 535,02744-270993   ,DEESA,,9426399093/9898110810
POOJA TRADERS - NAROL,"8, PARVATI ESTATE,","OPP, ROOP TAXTILE,","MOTON GALI, NAROL,AHMEDABAD",Ahmedabad 382 405,25327087 R25894819  ,NAROL,24075202099,"9426058407,9327044407"
POONAM AUTOMOBILES - SATLASANA,"SHOP NO - 1 , 2.","SONI MARKET,",SATLASNA AMBAJI HIGHWAY. SATLASNA,Visnagar ,   ,VISNAGAR,,9879989570
POONAM AUTOMOBILES - VISNAGAR,"1, UMA MARKET","OPP.  B. K. CINEMA,","KHERALU ROAD,",Visnagar 384 315,   ,VISNAGAR,,9879989570
POONAM ENTERPRISE - AHMEDABAD, , ,SARKHEJ,Ahmedabad  ,       ,AHMEDABAD, , 
Popular  Automobiles. - Surat,"2/616, SURMAWAD,","NR. UDHANA DARWAJA,", ,Surat 395 010,  9427478179      ,SURAT, , 9427478179
Popular Auto Diesel - Surat,"2/319 MALESHWAR STREET, ","RUSTAMPURA, ",NEAR UDHANA DARWAJA ,Surat 395 002,  9904252552      ,SURAT, , 9904252552
POPULAR AUTO PARTS - BARDOLI,"Nr. SURAT OCTROI NAKA,","M.G.ROAD,", ,Bardoli    ,       ,bardoli, , 
POPULAR AUTO PARTS. - SURAT,"2/616 SURMAWAD,","NEAR UDHANA DARWAJA,",RUSTMPURA,Surat 395 002,  9427478179      ,SURAT,24221600063 DT:14/9/05, 9427478179
POPULAR AUTOMOBILES. - BHAVNAGAR,"SUTHAR WAD,", , , Bhavnagar   364 001,0278- 2426322      ,BHAVNAGAR, , 9328181836
POPULAR GARAGE - RAJKOT,"NEAR CHOUDHARY HIGH SCHOOL,", , ,Rajkot  ,"O-447268,R-4490 08,236575    ",rajkot, , 
PORWAL AGENCIES -  BARODA,"JUBILEEBAUG CHAR RASTA,","NAVA BAZAR NAKA,", ,BARODA   390 001 ,0265 -2424697  (R)3436360    ,BARODA, 24190700452 , 93762 20053
PORWAL AUTOMOBILES - BARODA,"NEAR HANUMANWADI,","SARDAR BHAVAN'S LANE,", ,BARODA    ,(0265)424697 (O )    ,BARODA, , 
POWER MARINE SPARES - RAJKOT,"105, V.V. COMMERCIAL COPLEX,","FIRST FLOOR, BHATKHANA CHOWK,","DHEBAR ROAD,",Rajkot   360 002,2222144 2222142  ,rajkot,,9924049567
PRABHAT AUTO PARTS - DEESA,"BEHIND S.T. STAND,", , ,Deesa    ,       ,DEESA, , 
PRABHAT AUTO STORES - PORBANDAR,"SUDAMA CHOWK,", , ,Porbandar  ,       ,PORBANDER, , 
PRABHAT AUTO TRADERS - RAJKOT,"SHOP NO.38,SWAMINARAYAN","GURUKUL BUILDING,","GONDAL ROAD,",Rajkot  ,       ,rajkot, , 
PRABHAT AUTOMOBILES - RAJKOT,"NEAR SAURASHTRA COLD STORAGE,","GONDAL ROAD,",,Rajkot 360 002,   ,rajkot,24090600595,9427269261
PRABHAT MOTOR STORES - PORBANDAR,"SUDAMA CHOWK,",P.O.BOX NO.61,,Porbandar ,2242962 2247412  ,PORBANDER,24110100835 ,9426206556
Prabhat Power - Rajkot,"6, SANSKAR COMPLEX,","OPP. KKV HALL,","150 Ft. RING ROAD,",Rajkot 360 005,0286-3045226 9825270096    ,,24091700541,9825270096
PRABHUDAS ODHAVJI - JUNAGADH,"KALAVA CHOWK,", SHABRI SHOPPING CENTRE, JUNAGADH,Junagadh   362 001,2652064     ,JUNAGADH, 24120101282, 9826230205/9426476363
Prachi Auto Parts - Vapi,"2, Pruthvi Trade Centre,","Near Paris Hotel,","Opp Hyundai Showroom,",Vapi    , 9979885535  8733994909    ,VAPI,NO TIN,"9979885535,8733994909"
PRADEEP TRADERS - NAVASARI,"KABIL PORE,", , ,Navsari  ,02637-59895      ,NAVSARI, , 
PRADIP AUTOMOBILES - MEHSANA,"G-3, SUDARSHAN COMPLEX,","UNJA HIGHWAY ROAD,","NR, RAMOSHANA CROSS ROAD, MEHSANA",Mahesana ,98259 22486 291026  ,Mehsana,24040701709,9825922486
PRAGATI AUTO PARTS - SIDHAPUR,"NEAR SUNRAJ HOTEL,",HIGHWAY ROAD,,Siddhpur   ,384 151   ,SIDHPUR,,9879312022
PRAGATI AUTOMOBILE - BOKHIRA,"NEAR VACHRA DADA TEMPLE,","BOKHIRA HIGHWAY,","BOKHIRA,",Porbandar 360 575,9427228511 9687944414  ,PORBANDER,,9427228511/ 9687944414
PRAGATI AUTOMOBILES - PORBANDAR,"NEAR VACHHARADADA TEMPLE,","BOKHIRA HIGHWAY,","BOKHIRA,",Porbandar 360 579,9427228511 9687944414  ,PORBANDER,24110102303,"9427228511 , 9687944414"
PRAGATI ENTERPRISE - RAJKOT,"JUNAGAM STREET NO.8,",NAVAGAM, ,Rajkot  ,       ,rajkot, , 
PRAGATI MOTORS -  NARODA,"3, NATARAJ ESTATE,","NR. RAJCHANDRA JAIN MANDIR,","GALAXY ROAD, N.H.8, NARODA,",Ahmedabad 380 330,PP 2845219      ,NARODA, NO TIN, 9898739952
PRAKASH AUTOMOBILES - AHMEDABAD,"OPP.MOTOR MARKET,","NEAR NAROL CROSSING,",NAROL,Ahmedabad  ,       ,AHMEDABAD, , 
PRAKASH MOTOR STORES - JAMNAGAR,,K. V. ROAD,,Jamanagar   361 001,2554840   ,JAMNAGAR,,9898068480 / 9924288400
PRAKASH MOTORS - MIRZAPUR,"OPP: THREE CORNER GARDEN,","MIRZAPUR,", ,Ahmedabad 380 001 ,O-5623947/R-464     ,MIRZAPUR, , 
PRAMUKH AUTO PARTS - SATELLITE,"F-13, SATYAM COMPLEX,","OPP, BALAJI GARDER RESTAURANT,","CHANDAN FARM ROAD, JODHPUR,SATELLITE",Ahmedabad  ,9898111799   ,SATELLITE,24073805153,"9898111799,8488824632"
PRAMUKH AUTOMOBILES - AHMEDABAD,KAPASI BAZAR,OPP. OLD ALANKAR CINEMA,RAILWAY PURA,Ahmedabad  380 002,   ,AHMEDABAD,,
PRAMUKH MOTORS - AMRELI,"VISHWAS COMPLEX,","LATHI ROAD,",AMRELI,Amreli ,9909093995   ,Amreli,NO TIN,
PRAMUKH MOTORS - SARKHEJ,"F-4, CENTURY ESTATE,","OPP. EKTA HOTEL,","SARKHEJ BAVLA ROAD, SARKHEJ",Ahmedabad 382 210,079-26891464   ,SARKHEJ, 24074500891,9825209219
PRATIK AUTO PARTS - PALANPUR,"KARNAVATI SHOPPING CENTRE,","HIGHWAY,",,Palanpur   385 001,02742-252521   ,PALANPUR, ,
PRATIK AUTOMOBILES- VADAGAM,"INDIAN VADI, ASHIRVAD COMPLEX,","NR. BUS STOP, DHANSURA ROAD,",VADAGAM,Vadagam   383 307,94273 65844 99787 50288  ,VADAGAM,24051100492 ,94273 65844
PRATIK MOTORS -  AHMEDABAD,"2,MOHANNAGAR,BHAGIRATH SOC.4 RASTA,","OPP.SHREE HARIPARK SOCIETY,","132-Ft.RING ROAD,NARANPURA,",Ahmedabad  380 013 ,O-27498491 R-26753382    ,AHMEDABAD, , 
PRAVIN MOTORS -  PALANPUR,"14, KARNAVATI SHOPPING CENTRE,","AHMEDABAD HIGHWAY,", ,Palanpur   385 001 ,"58850,51115      ",PALANPUR, , 9824162276/9924391353
PREET CORPORATION - SARKHEJ," C-5, GAJANAND COMPLEX,","NEAR SABAR HOTEL, SANAND CHOWKDI,","S.G. HIGHWAY, SARKHEJ",Ahmedabad  ,9909910071 9974489298  ,SARKHEJ,24074503158,"9909910071,9974482298"
PREETI CYCLE & MOTOR - IDAR,"RAILWAY STATION ROAD,", , ,Idar    383 430,(02778)O-253483 (R):255709    ,IDAR, ,93740 10902 
PREETI MOTORS -  MIRZAPUR,"FARIYAWALA CHAMBERS,","MIRZAPUR,", ,Ahmedabad 380 001 , 25502756      ,MIRZAPUR, , 
PREM ACCESSORIES - DEESA,"2, SARGAM SHOPPING CENTRE,","NEAR RAJMANDIR CINEMA,","THREE ROAD,",Deesa   385 535,02529-93775   ,DEESA,,
PREM MOTORS - DEESA,"2/3, ABHINAV SHOPPING CENTRE,","OPP, VISHWAKARMA TEMPLE,","HIGHWAY ROAD, DEESA",Deesa   ,9327502529   ,DEESA,24020901403,9727502529
PREM TOOLS - DEESA,"2, DHONI COMPLEX,","R.T.O. CHECH POST,","MOTI AKHOL,",Deesa   ,9913684582   ,DEESA,NO TIN,9913684582
PREMAL AUTO AGENCY - AHMEDABAD,"19, PREM RASS SOCIETY,","NEAR SABAR HOTEL,","SHAHPUR BAHAI CENTRE,",Ahmedabad  380 001 ,"5500809,5506147      ",MIRZAPUR, , 
PREMIER AUTO PARTS -  BARODA,"HAJARAT PAGA ROAD,", , ,BARODA   390 001 ,2420439(O) 2462 485 (R)    ,BARODA, , 
PREMIER AUTOMOBILES - SARKHEJ,"1,2, BHAVANI COPLEX,","NR. RELIEF HOTEL,","SANAND ROAD, SARKHEJ,",Ahmedabad 382 210 ,26891910 26891579     ,SARKHEJ, , 9825367140
PREMIER MOTOR STORES -  VAPI,"Nr. HOTEL DILHI DARBAR,","N.H. NO:-8 ,", ,Vapi    ,"0260-2432013,24 39543    ",VAPI,24251000145, 
PRERNA AUTOMOBILES - NAROL,"A-24, PRERNA VIRAJ TOWER","JODHPUR,",,Ahmedabad  ,25710333   ,NAROL,,"9727307007 , 9925363888"
PRIMA AUTOMOBILES - NAROL,"NAROL MOTOR MARKET,","NR. NAROL CHAR RASTA,","NAROL,",Ahmedabad 382 405 ,25735707      ,NAROL,24075000618 , 9377705707
PRINCE  MOTORS -PALANPUR,"SAKAR COMPLEX, ","OPP. VISHAL PETROL PUMP,","NEAR RAILWAY CROSSING, HIGHWAY",Palanpur 385 001,9898313438 R-258982  ,PALANPUR, ,9898313438
PRINCE AUTOMOBILES -  GANDHIDHAM,"PLOT NO.353,","SECTOR 1-A,", ,Gandhidham   370 201 ,(02836)238060 ( O) 243125 (R)    ,GANDHIDHAM, , 
PRINCE AUTOMOBILES - KOSAMBA,"SAGAR NAGAR,","OPP. MAHESHWARI SHOW ROOM,","KOSAMBA RAILWAY STATION,",KOSAMBA  R.S. 394120,7383076587   ,KOSAMBA,NO TIN,
PRINCE MOTORS -  BARODA,"PUJER COMPLEX,","GROUND FLOOR,","SUBHANPURA MAIN ROAD,",BARODA   390 001 ,0265 (O)-239963 6(R) 2387493    ,BARODA, , 
PRINCE MOTORS - JAMNAGAR,"5,SIDDHNATH COMPLEX,",K. V. ROAD,,Jamanagar   361 001,0288-2770207 2676529 6540207 ,JAMNAGAR,,9227508510/9227708510
PRINCE MOTORS - THALTEJ,"G-18, Signature Complex, Opp Suvarna Bungalows,","Nr Sola Over Bridge, 100 Ft Road,",Thaltej,Ahmedabad 380059,65125586 9099660182  ,SOLA,24074301662,"9099660182,181"
PRITHVI CAR CARE - VASTRAPUR,"1,MANAGEMENT ENCLAVE,","NEHRU PARK,","VASTRAPUR,",Ahmedabad 380 015,O-26749247 40040056  ,SOLA,NO TIN," 9825013365 , 9825008322"
PRITHVI MOTORS -  VASTRAPUR,"1,MANAGEMENT ENCLAVE,","NEHRU PARK,","VASTRAPUR,",Ahmedabad 380 015 ,O-26749247 40040056    ,SOLA, ,"9825013365 , 9825008322"
PRITHVI SALES - BHAVNAGAR,"SHOP.NO - 24/7, ","SADGURU COMPLEX, ","NARI CHOKDI, BHAVNAGAR",BHAVNAGAR  ,9825237097 9377737097 2448877 ,BHAVNAGAR,24640400836,"9825237097,9377737097"
PRITI AUTO PARTS - NARODA,"A-17, TAKSHSHILA COMPLEX,","OPP.GALAXY CINEMA ROAD,","NR GALAXY AVENUE, NARODA",Ahmedabad 380 030,22814895   ,NARODA,,99094 28483
PRIYA MOTORS - PALANPUR,"29, SAKAR COMPLEX,","AHMEDABAD HIGHWAY,","AAKESHAR ROAD,",Palanpur 385 001,   ,PALANPUR,,9427044006
PRIYANK AUTOMOBILES - NAROL,"G-25, SILVER COMPLEX,","NAROL CHAR RASTA,","NAROL,",Ahmedabad 382 405,25329158    ,NAROL,21075002528,"9898034203 , 9828034213"
PRIYANK MOTORS - NAROL,"DIAMOND ESTATE, OPP. SIMLA HOTEL, ","NAROL MOTOR MARKET,","NAROL CHOKDI,",Ahmedabad  382 405 ,25329158  25712417     ,NAROL,24075000868,"9898034203 , 9898034213"
PROGRESSIVE AUTOMOBILES -  ELLISBRIDGE,"""Smruti"", Kalyan Society,","Ellisbridge,",,Ahmedabad  380006,26441659   ,AHMEDABAD,NO TIN,9924248828
PRUTHVI AUTO PVT. LTD -JAMNAGAR,"PLOT NO.9, SR.NO.15, NR. RPL COLOLNY,","JAMNAGAR-DWARKA ROAD,","VILL-MEGHPAR, TAL.LALPUR",Jamanagar   361 280,0288-2846083   ,JAMNAGAR,,9879842201
PUKHRAJ AUTO SERVICE -MIRZAPUR,"36, K.B.COMM. CENTRE,","MIRZAPUR,", ,Ahmedabad  ,25507544      ,MIRZAPUR, , 
PUNIT MOTORS - MIRZAPUR,"K.B.COMMERCIAL CENTRE,",MIRZAPUR,AHMEDABAD,Ahmedabad 380 001,9426080531   ,MIRZAPUR, ,9426080531/982544497
PUNITA  CORPORATION - JIVRAJPARK,,"3, MALAV TALAV,",JIVRAJ PARK,Ahmedabad  ,     ,NARODA,,9879882043
PUNJAB AUTOMOBILES  ( I ) PVT. LTD.,"NR, SUNDARAM ARCADE,","SHUKAN MALL CROSS ROAD,","SCIENCE CITY ROAD, SOLA, AHMEDABAD",Ahmedabad  380 060,9925004190 9925004276 (MIN  (MINESH) ,SOLA,24074301426  ,"9925004276,98790 07900"
Punjab Automobiles - Ranoli,"Opp. Dhanlaxmi Pump,","N.H.No - 8, ","Ranoli ,",Ranoli 391350,0265-2308652   ,RANOLI,24191900233 DTD - 01/07/2002,9824380610 / 9904053170
PUNJAB AUTOMOBILES - SOLA,"NEAR NEW HIGHCOURT,","SOLA FLYOVER BRIDGE,",SARKHEJ GANDHINAGAR HIGHWAY,Ahmedabad 380 054,69562087   ,SOLA, ,98248 78484(MAHESH)
PURI AUTOMOBILES - PALANPUR,"CHOICE GALI,",AHMEDABAD HIGHWAY,,Palanpur 385 001,94083 08684   ,PALANPUR,24020801266,94083 08684
PUSHPAK MOTORS - JAMNAGAR,"204, KRISHNARAJ APPARTMENT,","NEAR JOGERS PARK,","PARK COLONY, JAMNAGAR",Jamnagar 361008,   ,JAMNAGAR,24100401445,
R S HEAD & ENGINEERIG WORKS - ANAND,"SHOP NO.6,","BALIYA KAKA TEMPLE,","SARDAR GANJ,",Anand   388 001,9924043075   ,Anand,NO TIN,9924043075
R. B. MOTORS -  GODHRA,"PANCHAMRUT DAIRY ROAD,","OPP.SHRIRAM INDUSTRIES,", ,Godhra   360 311 ,       ,GODHRA, , 
R. K. AUTO PARTS - AHMEDABAD,"1,VYAPAR BHAVAN,","MITHAKHALI SIX ROAD,", ,Ahmedabad  380 006 ,26462220       ,AHMEDABAD, , 
R. K. Auto Sales - Rajkot,"8 B, NATIONAL HIGHWAY,","NEAR GREEN LAND CHOKDI,",OPP. PADAK ROAD,Rajkot  ,      ,,24091400575, 7041908088
R. K. MOTORS - SOLA,"U-12, NAVARANG TOWER,","OPP.SARTHAK SCHOOL,","NR.SATTADHAR CROSS ROAD,",Ahmedabad  ,27413639 30127689    ,SOLA, ,
R. K. ROAD LINES - SANATHAL,"C/o. SHREEJI AUTO PARTS,","HOTEL SHRI KHODAL COMPOUND, ","SARKHEJ CHANGODAR ROAD, SANATHAL CIRCLE,",Ahmedabad  382 210,   ,SARKHEJ,,
R. R. AUTO CENTRE - SURENDRANAGAR,"NEAR VOHRA'S DELO,","DUDHREJ ROAD,",,Surendranagar   ,(02752)572138   ,SURENDRANAGAR, ,98254 98965
R. R. SERVICE STATION - BADOLI,,BHILODA HIGHWAY ROAD,BADOLI ,BADOLI  383 410,02778-231973   ,HIMMATNAGAR,,9879142704
R. R. TRADERS -  AHMEDABAD,"2,DADA ESTATE,B/S MICO SHOW ROOM","B/H UMIYA WAY BRIDGE,","SANAND CHOKDI, SARKHEJ,",Ahmedabad  382 210 ,       ,SARKHEJ, , 
R. VASANT & CO. -  AHMEDABAD,"1ST FLOOR,KUTUB MANZIL,","OPP.SHETHIA BUILDING,","KADIAKUI,RELIEF ROAD,",Ahmedabad  380 001 ,"2139292,2137142 ,R-6446938    ",MIRZAPUR, , 
R.K.  AUTO PARTS. - SARKHEJ,"SHOP NO.SV-6, HIGHWAY ESTATE,","OPP. WONDERLAND SHOW PARK,","SARKHEJ - SANAND ROAD,",Ahmedabad 382 210 ,   26823738  9426333898 ,SARKHEJ, ,9426333898 
R.K. MOTORS. - SARKHEJ,"30-31,AMIN COMPLEX ,","NR.SAVAN HOTEL, ","SARKHEJ SANAND X ROAD, SARKHEJ,",Ahmedabad 382 210 , 26890570      ,SARKHEJ, , 9879140709
R.M. AUTOMOBILES - MIRZAPUR,"OPP. JANASATTA KARYALAYA,","MIRZAPUR RAOD,", ,Ahmedabad 380 001 ,25501183   9909014204    ,MIRZAPUR, , 9909014204
R.P.K. ROAD LINES - SANATHAL,"C/o SHREEJI AUTO PARTS,","HOTEL SHREE KHODAL  COMPOUND,","SARKHEJ CHANGODAL ROAD, SANATHAL CIRCLE",Ahmedabad  382 210,   ,SARKHEJ,NO TIN,
R.R. AUTO PARTS - MEHSANA,"14, OZA SHOPPING CENTRE,","NEAR PUNIT NAGAR,",NAGALPUR.,Mehsana   384 002 ,O(02762)-252586 244626     ,Mehsana, ,94265 21434 
RACHANA ENTERPRISE - MIRZAPUR,"RUSTAM ALI DHAL,","MIRZAPUR ROAD,",AHMEDABAD,Ahmedabad  380 001,   ,MIRZAPUR,,
RACHNA AIR COMPONENTS PVT. LTD. - PALDI,"13-14, SUMTINATH COMPLEX,","OPP. KOTHAWALA FLATS,","PRITAMNAGAR, PALADI",Ahmedabad 380 006,26577374 26577375 30075020 ,PALDI,,9824049573
RADHAKISHAN AUTO PARTS -  SEVALIA,"GODHARA ROAD,"," TA. THASRA, DIst. KHEDA", ,Sevalia 388 245 ,9879130473      ,SEVALIA, , 9879130473
RADHAKRUSHNA AUTOMOBILES -  VIJAPUR,"30, SHREE RAM SHOPPING CENTRE,","HIGHWAY ROAD,", ,Vijapur 382 870 , 9979749225     ,VIJAPUR, ,9979749225
RADHANI TRACTORS - JUNAGADH,BHUTNATH CHAMBERS,BAHAUDDIN COLLAGE ROAD,,Junagadh   362 001,2672005   ,JUNAGADH,24120102367,9825535750
RADHANPUR AUTO AGENCY - RADHANPUR,"NEAR NARMADA VASAHAT,","KANDLA HIGHWAY,",RADHANPUR,Radhanpur   375340,9725050309   ,RADHANPUR,24030200153,9725050309
RADHASWAMI AUTOMOBILES - KADI  (N.G),"1,NEEL COMPLEX,","NEAR PETROL PUMP,","THOL ROAD,",KADI    ,"62339,62735 R-4 2056    ",KADI, , 
RADHASWAMI MOTORS - SABARMATI,"OPP. PRITAMESHWAR MAHADEV,","NEAR DESHAVAR HOTEL,","GANDHINAGR HIGHWAY,SABARMATI",Ahmedabad 380 005,27573291 9898302780 9998869799  ,SABARMATI, ,  9898302780/ 9157445826
RADHASWAMI TRADERS - ANAND,"DHAGAT COMPLEX,","NEAR GOPI CINEMA,",,Anand   388 001,   ,Anand,24150101604,9825977043
